stock_id,weight,name,industry,description
STOCK_001,18.245,匿名标的001,匿名行业001,匿名标的001的匿名行业组合，真实成分股代码和名称已移除。
STOCK_002,6.491,匿名标的002,匿名行业002,匿名标的002的匿名行业组合，真实成分股代码和名称已移除。
STOCK_003,13.16,匿名标的003,匿名行业003,匿名标的003的匿名行业组合，真实成分股代码和名称已移除。
STOCK_004,33.014,匿名标的004,匿名行业004,匿名标的004的匿名行业组合，真实成分股代码和名称已移除。
STOCK_005,3.137,匿名标的005,匿名行业005,匿名标的005的匿名行业组合，真实成分股代码和名称已移除。
STOCK_006,8.946,匿名标的006,匿名行业006,匿名标的006的匿名行业组合，真实成分股代码和名称已移除。
STOCK_007,0.969,匿名标的007,匿名行业007,匿名标的007的匿名行业组合，真实成分股代码和名称已移除。
STOCK_008,2.182,匿名标的008,匿名行业008,匿名标的008的匿名行业组合，真实成分股代码和名称已移除。
STOCK_009,0.894,匿名标的009,匿名行业009,匿名标的009的匿名行业组合，真实成分股代码和名称已移除。
STOCK_010,12.963,匿名标的010,匿名行业010,匿名标的010的匿名行业组合，真实成分股代码和名称已移除。
